SiteID,Latitude,Longitude,A_As,A_Pb,A_Se
3676,29.9167,-95.9661,2.70,7.50,<0.2
3704,33.3109,-99.1968,9.30,21.00,0.30
3711,34.6538,-102.4973,7.80,18.50,0.30
3768,33.2026,-97.9583,6.50,16.30,0.30
3788,30.629,-99.3643,8.30,22.70,0.30
3832,32.6077,-95.0875,0.90,6.60,<0.2
3868,28.3564,-99.6039,6.00,15.50,0.30
3903,31.3772,-100.6423,5.30,37.90,<0.2
3908,30.7859,-104.9794,5.30,16.40,<0.2
3916,32.6175,-94.338,8.40,11.00,0.30
3932,29.052,-96.3934,2.10,12.00,<0.2
3960,33.2707,-98.0233,4.90,14.90,0.30
3967,34.0995,-100.1418,8.50,16.80,0.20
4015,30.7373,-104.7296,8.20,16.40,<0.2
4044,28.5693,-97.5053,2.20,12.00,<0.2
4088,32.4215,-96.0364,2.40,10.20,<0.2
4108,31.9724,-96.3983,#VALUE!,#VALUE!,#VALUE!
4124,29.0497,-98.376,9.50,14.30,0.50
4223,33.1288,-102.5337,2.20,5.50,<0.2
4252,29.6455,-97.0565,6.10,9.20,0.20
4280,31.0435,-97.9431,8.40,19.30,0.30
4287,34.3073,-100.9394,1.90,6.70,<0.2
4292,30.0225,-102.3648,6.10,13.40,0.40
4344,33.6227,-95.5674,10.60,20.90,0.80
4364,31.6229,-94.8428,84.20,26.30,1.90
4380,29.8885,-97.5375,3.60,14.60,0.20
4444,28.404,-98.2932,4.50,13.90,<0.2
4459,36.2155,-100.4729,4.40,14.30,<0.2
4479,33.2478,-102.241,2.30,7.30,<0.2
4484,29.6175,-103.0211,4.30,6.40,0.40
4536,31.6183,-98.8885,4.90,10.10,<0.2
4548,28.6431,-100.4249,#VALUE!,#VALUE!,#VALUE!
4636,27.9561,-97.151,2.20,10.80,<0.2
4671,32.8117,-100.4422,4.60,12.70,<0.2
4700,30.3978,-96.4595,2.00,13.00,<0.2
4715,36.3957,-102.2376,4.60,17.30,<0.2
4735,34.4465,-101.0285,4.30,11.70,<0.2
4740,30.3962,-103.0023,4.60,9.90,<0.2
4792,33.1029,-99.995,6.00,12.80,<0.2
4804,29.8342,-100.6921,6.50,18.20,0.40
4847,30.9308,-104.2045,6.40,22.90,0.30
4892,27.7951,-99.4263,6.00,13.40,0.20
4927,31.4813,-101.5998,8.30,15.70,0.30
4940,30.838,-94.0684,3.80,15.60,<0.2
4956,29.9064,-95.1531,3.60,15.70,0.30
4984,33.5553,-98.1401,3.50,11.10,<0.2
4991,35.1,-101.5234,6.30,17.80,0.30
5048,32.6805,-98.0082,11.20,21.00,0.40
5068,29.8807,-99.1511,9.40,24.90,0.50
5112,32.3441,-95.7364,1.20,9.50,<0.2
5132,31.5858,-97.2923,6.30,11.60,0.20
5148,30.338,-97.3896,8.20,39.80,0.50
5212,26.9919,-99.1627,4.90,10.00,<0.2
5247,32.557,-102.7465,5.70,9.50,<0.2
5252,30.1923,-104.2799,5.60,17.70,0.20
5276,28.6884,-96.4798,7.60,21.70,0.40
5304,30.9028,-98.0996,4.30,11.30,<0.2
5316,30.449,-101.7321,4.70,11.00,0.50
5368,33.7237,-94.915,6.00,16.10,0.40
5388,31.2985,-95.096,3.40,14.10,<0.2
5404,28.7896,-98.9927,15.10,15.50,0.20
5460,31.693,-105.5063,4.80,13.80,<0.2
5468,28.3688,-97.6995,4.90,12.60,0.20
5483,35.7107,-100.8394,5.80,14.70,<0.2
5503,33.7,-101.5283,6.10,15.80,0.20
5560,31.3374,-100.0779,17.90,17.50,0.30
5624,33.713,-96.8742,11.70,13.40,0.70
5660,27.135,-97.7929,#VALUE!,#VALUE!,#VALUE!
